,last name,county,votes,state,winner
73,Biden,Eureka,0,NV,0.0
75,Warren,Eureka,0,NV,0.0
76,Klobuchar,Eureka,0,NV,0.0
81,Steyer,Eureka,0,NV,0.0
60,Sanders,Esmeralda,11,NV,1.0
61,Biden,Esmeralda,2,NV,0.0
63,Warren,Esmeralda,2,NV,0.0
64,Klobuchar,Esmeralda,0,NV,0.0
69,Steyer,Esmeralda,0,NV,0.0
48,Sanders,Elko,42,NV,1.0
52,Klobuchar,Elko,17,NV,0.0
51,Warren,Elko,15,NV,0.0
49,Biden,Elko,9,NV,0.0
57,Steyer,Elko,0,NV,0.0
36,Sanders,Douglas,76,NV,1.0
40,Klobuchar,Douglas,38,NV,0.0
39,Warren,Douglas,26,NV,0.0
45,Steyer,Douglas,15,NV,0.0
37,Biden,Douglas,13,NV,0.0
24,Sanders,Clark,5293,NV,1.0
25,Biden,Clark,2623,NV,0.0
27,Warren,Clark,917,NV,0.0
33,Steyer,Clark,442,NV,0.0
28,Klobuchar,Clark,230,NV,0.0
12,Sanders,Churchill,31,NV,1.0
21,Steyer,Churchill,13,NV,0.0
13,Biden,Churchill,12,NV,0.0
16,Klobuchar,Churchill,9,NV,0.0
15,Warren,Churchill,8,NV,0.0
0,Sanders,Carson City,96,NV,1.0
4,Klobuchar,Carson City,33,NV,0.0
3,Warren,Carson City,19,NV,0.0
9,Steyer,Carson City,19,NV,0.0
1,Biden,Carson City,10,NV,0.0
484,Biden,Williamsburg,3681,SC,1.0
485,Sanders,Williamsburg,708,SC,0.0
486,Steyer,Williamsburg,605,SC,0.0
